,Name,Sector,Sharpe,Risk
AVNW,"Aviat Networks, Inc.",Technology,0.9151537736070976,0.039733402716699846
AVXL,Anavex Life Sciences Corp.,Health Care,0.3935860464853122,0.038516729552536454
AVXS,"AveXis, Inc.",Health Care,2.047817612442751,0.034934758778670354
AWRE,"Aware, Inc.",Technology,-0.20136579393153836,0.024284627980731638
AXAS,Abraxas Petroleum Corporation,Energy,0.20850671316824895,0.037578051093296545
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,-0.48431648457833326,0.029811912812840766
AXGN,"AxoGen, Inc.",Health Care,3.1564815812505396,0.02568905353004531
AXSM,"Axsome Therapeutics, Inc.",Health Care,-0.45199142817713905,0.04096159954964919
AXTI,AXT Inc,Technology,1.0552002355306938,0.04251819842590564
AZPN,"Aspen Technology, Inc.",Technology,1.693038752518195,0.013242764016150836
BABY,Natus Medical Incorporated,Health Care,-0.012023725188393545,0.020555303235774317
BANF,BancFirst Corporation,Finance,2.278870942888814,0.01591547407721832
BANR,Banner Corporation,Finance,1.891315403923819,0.013689092456118091
BANX,StoneCastle Financial Corp,n/a,1.7169549320517818,0.012079212542715934
BASI,"Bioanalytical Systems, Inc.",Health Care,0.6576340661689154,0.06412538003675258
BATRA,Liberty Media Corporation,Consumer Services,1.5113437050092404,0.019144595300718117
BATRK,Liberty Media Corporation,Consumer Services,1.5975348800264124,0.018444939866895334
BBBY,Bed Bath & Beyond Inc.,Consumer Services,-1.2483126266983242,0.018971835574649223
BBC,Virtus LifeSci Biotech Clinical Trials ETF,n/a,0.7981095015960773,0.10326543206349353
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,1.984735794775763,0.017321272029000974
BBH,VanEck Vectors Biotech ETF,n/a,0.9154129457813985,0.052887063583949595
BBOX,Black Box Corporation,Technology,3.086205494571115,0.009734716588343947
BBP,Virtus LifeSci Biotech Products ETF,n/a,0.8628895312343731,0.08210690455252391
BBRG,"Bravo Brio Restaurant Group, Inc.",Consumer Services,-0.9075520753899197,0.03369389550267926
BBRY,BlackBerry Limited,Technology,-0.14468848482578242,0.015373576443764444
BBSI,"Barrett Business Services, Inc.",Technology,0.5666997451443415,0.018380600132587
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,1.3090773321381555,0.01646482347206025
BCLI,Brainstorm Cell Therapeutics Inc.,Health Care,1.2336319615002018,0.035675214829297384
BCOR,"Blucora, Inc.",Technology,3.870962517400128,0.02036625216088125
BCOV,Brightcove Inc.,Technology,-0.8528447419289386,0.03605566756466879
BCPC,Balchem Corporation,Basic Industries,0.15051267567036128,0.013891679908077981
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,0.2328584464165599,0.048373970884010214
BCTF,"Bancorp 34, Inc.",Finance,0.896396297117771,0.011415783801105833
BDGE,"Bridge Bancorp, Inc.",Finance,1.0717609302807365,0.01497601650697386
BDSI,"BioDelivery Sciences International, Inc.",Health Care,0.2731773667691102,0.04296880621326762
BEAT,"BioTelemetry, Inc.",Health Care,1.3006776738969792,0.028422018199291733
BEBE,"bebe stores, inc.",Consumer Non-Durables,-0.1989967222725988,0.05498787617629645
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,1.0416011452342269,0.01601833240134123
BELFA,Bel Fuse Inc.,Capital Goods,0.6352822848030116,0.03840751257325789
BELFB,Bel Fuse Inc.,Capital Goods,0.8666073909888119,0.02497949392136345
BFIN,BankFinancial Corporation,Finance,1.8328609000750025,0.010609213062292329
BFIT,Global X Health & Wellness Thematic ETF,n/a,0.3194480533632224,0.021494639751758547
BGCP,"BGC Partners, Inc.",Finance,4.507811976076414,0.013133578266193092
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,-0.9327515734980482,0.028064678433993264
BGNE,"BeiGene, Ltd.",Health Care,0.5500854272805422,0.02396260516967268
BHAC,Barington/Hilco Acquisition Corp.,Finance,0.11645873007592508,0.034386150659308716
BHBK,"Blue Hills Bancorp, Inc.",Finance,1.7062554455625778,0.015261652397991796
BIB,ProShares Ultra Nasdaq Biotechnology,n/a,0.681526937422545,0.1112638092659704
BICK,First Trust BICK Index Fund,n/a,2.310374522765502,0.03391336440064014
BIDU,"Baidu, Inc.",Technology,-0.3583257976347376,0.014206853416123573
BIIB,Biogen Inc.,Health Care,0.5626787337101689,0.015879057324639376
BIOC,"Biocept, Inc.",Health Care,-0.07916210215289357,0.08087746917533843
BIOL,"Biolase, Inc.",Health Care,-0.8627037717388168,0.05081258624053866
BIOP,"Bioptix, Inc",Health Care,2.081132607435862,0.056468956586267355
BIOS,"BioScrip, Inc.",Health Care,-0.11292661536193406,0.059991785600673614
BIS,ProShares UltraShort Nasdaq Biotechnology,n/a,-0.8292786124333851,0.12045920503461668
BJRI,"BJ&#39;s Restaurants, Inc.",Consumer Services,-0.6865309343058078,0.01755301152464307
BKCC,BlackRock Capital Investment Corporation,n/a,-0.4886564088977028,0.01181531515955769
BKEP,"Blueknight Energy Partners L.P., L.L.C.",Energy,0.3904813370171279,0.01930868878572183
BKMU,Bank Mutual Corporation,Finance,1.419520635745892,0.016369460850630162
BKSC,Bank of South Carolina Corp.,Finance,0.2786783149665473,0.021181720858676492
BLBD,Blue Bird Corporation,Capital Goods,1.8221573477877095,0.014436982915907476
BLCM,"Bellicum Pharmaceuticals, Inc.",Health Care,-0.627499638085596,0.04288088919174078
BLDP,"Ballard Power Systems, Inc.",Energy,0.8389284822946501,0.03695259378657485
BLDR,"Builders FirstSource, Inc.",Consumer Services,1.4965172105539568,0.023591168802168012
BLFS,"BioLife Solutions, Inc.",Health Care,4.688645416823155,0.03320829277126324
BLKB,"Blackbaud, Inc.",Technology,1.3177903620016225,0.016670263195609547
BLMN,"Bloomin&#39; Brands, Inc.",Consumer Services,0.1928256085255312,0.01766711528754496
BLMT,"BSB Bancorp, Inc.",Finance,1.4162606729223808,0.011700546052727093
BLPH,"Bellerophon Therapeutics, Inc.",Health Care,0.08254804878012867,0.07643254394318352
BLRX,BioLineRx Ltd.,Health Care,-0.09855462580388366,0.03131856110588497
BLUE,"bluebird bio, Inc.",Health Care,1.0801706735866239,0.03985764153324702
BLVD,Boulevard Acquisition Corp. II,Finance,0.6085296798009802,0.002631280754712354
BMCH,"BMC Stock Holdings, Inc.",Consumer Services,1.2184660954170503,0.015627866512711648
BMLA,BullMark LatAm Select Leaders ETF,n/a,1.5989914347959178,0.05603472417838133
BMRA,"Biomerica, Inc.",Health Care,0.06175429263056161,0.05274096897395918
BMRC,Bank of Marin Bancorp,Finance,1.449483513966551,0.019137349312534992
BMRN,BioMarin Pharmaceutical Inc.,Health Care,-0.06964771853457354,0.0186945850509469
BMTC,Bryn Mawr Bank Corporation,Finance,2.0690985064950405,0.013949844875085516
BNCL,"Beneficial Bancorp, Inc.",Finance,0.7197350678373744,0.014541113109005913
BNDX,Vanguard Total International Bond ETF,n/a,-0.2939757525643302,0.008027685338007502
BNFT,"Benefitfocus, Inc.",Technology,-0.5128936966907782,0.028090051916721537
BNSO,"Bonso Electronics International, Inc.",Capital Goods,0.8380338380837178,0.054450000948169014
