,Sharpe,Risk
CALD,1.4507398268884453,0.02067475029119329
CALI,0.22772152320764605,0.08535924600038039
CALL,0.6747612135252768,0.02449030221179724
CALM,0.2863084974096619,0.0184777315946665
CAMP,2.3554094300438884,0.020400621548530062
CAMT,2.167174304417661,0.023231296933411843
CAPR,-0.053134925087316966,0.10747251934983806
CAR,0.19180244493025703,0.032991028009654755
CARA,0.4492008061507798,0.05788985311400757
CARB,0.4927804530692789,0.17465425655838052
CARO,2.4795850152162373,0.01620544121656891
CART,1.0107849573047483,0.023746573735548757
CARV,-0.6789573145563003,0.0605646742516565
CARZ,2.791548890261793,0.024251023866532967
CASC,-0.8895022547896388,0.0394764031029697
CASH,0.9498021292946062,0.03497956825375372
CASI,0.8516499225465234,0.04487661729448469
CASM,-1.0515540903864014,0.03128785835331978
CASS,0.7360621061612178,0.015211651242724299
CASY,-0.3071987221438832,0.011517062589077363
CATB,-0.42880510693338336,0.07830063967885706
CATH,3.4393158383411824,0.015858853775013903
CATM,1.0677366341530912,0.015251879188509614
CATS,-0.29548098227504893,0.06628770090090168
CATY,1.278363908004996,0.015438954547601583
CAVM,0.7340444647961065,0.01972890777996968
CBAK,-0.5874858538667128,0.04550324715627941
CBAN,1.3200026890934216,0.021759874422237754
CBAY,4.090336332749638,0.04920484944109064
CBF,1.5819355756575753,0.013111422090231842
CBFV,1.171174357036786,0.0185279215433336
CBIO,-0.3029856850085318,0.1486154359987807
CBLI,0.4105434854733595,0.1468813563836137
CBMG,-0.28870414395439875,0.06484913155090523
CBMX,1.5818858022410371,0.06394284370467149
CBOE,4.097561859711409,0.009502841025643841
CBRL,1.1961260303573897,0.011671362326285128
CBSH,1.2172654809759087,0.012665198408732389
CCBG,2.0488808649543326,0.019402451808119038
CCCL,-0.21833337801063732,0.059129639334048925
CCCR,1.2628888446504603,0.07127145370586162
CCD,2.77422813522958,0.01392814998066375
CCIH,-1.3829390192940523,0.0307034303680983
CCLP,-0.881442373745232,0.03272811897765059
CCMP,2.4109479354178234,0.014338923941875702
CCNE,1.1424727815755769,0.021361706123226486
CCOI,2.1395699072024796,0.016339254210258343
CCRC,0.5902620654975859,0.048271164398473856
CCRN,0.44656005824578276,0.02565355271468623
CCUR,0.44693110130991737,0.023269014233907086
CCXI,0.497355249478899,0.03507406768527116
CDC,3.1266331071073465,0.014292758016805913
CDEV,-0.21192252040834597,0.01932260490343935
CDK,0.9709249428695611,0.009483542205002866
CDL,3.138880722153985,0.014236181657046395
CDNA,0.4645101699748969,0.07552406721176444
CDNS,2.9545036909449522,0.012998526192183672
CDOR,-0.261117938399405,0.026263039443662366
CDTI,-0.7800196211061342,0.04280797300866197
CDTX,-0.4792171954586511,0.043227684732467846
CDW,2.680272787832127,0.013003240505960417
CDXC,0.3004911935358931,0.04061328026242183
CDXS,1.182369341697093,0.0313974529807977
CDZI,1.3684372973724894,0.03767925319908416
